name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,37,2445411692,,,,,,,-96.7684085,43.4970702,,,
,38,80230322,,,,,,,-96.725619,43.490698,,,
,39,80230329,,,,,,,-96.7257405,43.4896439,,,
,40,1375180870,,,,,,,-96.7257386,43.4895242,,,
,41,80803053,,,,,,,-96.814212,43.50031,,,
,42,80230529,,,,,,,-96.81435,43.498913,,,
,43,80239311,,,,,,,-96.722085,43.487589,,,
,44,80230798,,,,,,,-96.722567,43.4863416,,,
,45,80283291,turning_circle,,,,,,-96.7256691,43.4838476,,,
,46,80283246,,,,,,,-96.7269098,43.4861748,,,
,47,2462411165,,,,,,,-96.7274046,43.4862051,,,
,48,80230929,,,,,,,-96.7275957,43.4862043,,,
,49,80232181,,,,,,,-96.749547,43.492302,,,
,50,80232220,,,,,,,-96.7508933,43.4941732,,,
,51,80232488,,,,,,,-96.7657387,43.480257,,,
,52,80232490,,,,,,,-96.7657232,43.4797408,,,
,53,80232808,,,,,,,-96.7614316,43.479909,,,
,54,80232819,,,,,,,-96.760772,43.4792055,,,
,55,80232844,,,,,,,-96.7591305,43.4780394,,,
,56,80233053,,,,,,,-96.7693177,43.4763225,,,
,57,80233055,,,,,,,-96.7673027,43.4762799,,,
,58,80233089,,,,,,,-96.7329517,43.4895667,,,
,59,9318322966,,,,,,,-96.732953,43.4896441,,,
,60,80233102,,,,,,,-96.7300032,43.4898174,,,
,61,80233140,,,,,,,-96.7489145,43.4895984,,,
,62,1351702572,,,,,,,-96.7504787,43.4896126,,,
,63,80233151,,,,,,,-96.7300015,43.489556,,,
,64,80230902,,,,,,,-96.7295088,43.4858939,,,
,65,80233196,,,,,,,-96.7294741,43.4837731,,,
,66,1351495811,,,,,,,-96.7294874,43.4823349,,,
,67,9318322971,,,,,,,-96.7337921,43.4896457,,,
,68,80233212,,,,,,,-96.7337957,43.4895711,,,
,69,80233220,,,,,,,-96.7332428,43.4883696,,,
,70,80233222,,,,,,,-96.7324516,43.4868144,,,
,71,80230889,,,,,,,-96.7315794,43.4851263,,,
