name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,geometry,out_degree,in_degree,degree
,3584,80730151,,,,,,,-96.7124379,43.5221235,,,,POINT(-96.7124379 43.5221235),3.0,3.0,6.0
,3585,80730155,,,,,,,-96.711531,43.5211043,,,,POINT(-96.711531 43.5211043),1.0,1.0,2.0
,3586,80730156,,,,,,,-96.7332365,43.5833408,,,,POINT(-96.7332365 43.5833408),2.0,2.0,4.0
,3587,80730157,,,,,,,-96.7332417,43.5847763,,,,POINT(-96.7332417 43.5847763),3.0,3.0,6.0
,3588,80730158,,,,,,,-96.7332393,43.5862054,,,,POINT(-96.7332393 43.5862054),1.0,1.0,2.0
,3589,80730187,,,,,,,-96.7487053,43.543951,,,,POINT(-96.7487053 43.543951),3.0,3.0,6.0
,3590,80730189,,,,,,,-96.7487171,43.543043,,,,POINT(-96.7487171 43.543043),3.0,3.0,6.0
,3591,80730191,,,,,,,-96.7487442,43.5402312,,,,POINT(-96.7487442 43.5402312),4.0,4.0,8.0
,3592,80692888,,,,,,,-96.7487394,43.5366902,,,,POINT(-96.7487394 43.5366902),4.0,4.0,8.0
,3593,80730193,,,,,,,-96.7487383,43.5348739,,,,POINT(-96.7487383 43.5348739),4.0,4.0,8.0
,3594,80730195,,,,,,,-96.7487487,43.533065,,,,POINT(-96.7487487 43.533065),4.0,4.0,8.0
,3595,80707314,,,,,,,-96.7481672,43.5459446,,,,POINT(-96.7481672 43.5459446),3.0,3.0,6.0
,3596,80654696,,,,,,,-96.7481648,43.5446284,,,,POINT(-96.7481648 43.5446284),4.0,4.0,8.0
,3597,80730200,,,,,,,-96.7481596,43.543953,,,,POINT(-96.7481596 43.543953),3.0,3.0,6.0
,3598,80730224,,,,,,,-96.748768,43.5294409,,,,POINT(-96.748768 43.5294409),4.0,4.0,8.0
,3599,80730226,,,,,,,-96.7487202,43.5258281,,,,POINT(-96.7487202 43.5258281),4.0,4.0,8.0
,3600,80730228,,,,,,,-96.7486554,43.5221152,,,,POINT(-96.7486554 43.5221152),4.0,4.0,8.0
,3601,80730230,,,,,,,-96.748623,43.5166931,,,,POINT(-96.748623 43.5166931),4.0,4.0,8.0
,3602,80693052,,,,,,,-96.7486203,43.514859,,,,POINT(-96.7486203 43.514859),4.0,4.0,8.0
,3603,80730232,,,,,,,-96.748604,43.513799,,,,POINT(-96.748604 43.513799),3.0,3.0,6.0
,3604,80730234,,,,,,,-96.748565,43.51229,,,,POINT(-96.748565 43.51229),3.0,3.0,6.0
,3605,80730236,,,,,,,-96.748531,43.509097,,,,POINT(-96.748531 43.509097),2.0,2.0,4.0
,3606,80730278,,,,,,,-96.7910494,43.583058,,,,POINT(-96.7910494 43.583058),3.0,3.0,6.0
,3607,8256422947,,,,,,,-96.7935823,43.5830661,,,,POINT(-96.7935823 43.5830661),1.0,1.0,2.0
,3608,80730291,,,,,,,-96.741808,43.516229,,,,POINT(-96.741808 43.516229),3.0,3.0,6.0
,3609,80730293,,,,,,,-96.742342,43.515946,,,,POINT(-96.742342 43.515946),3.0,3.0,6.0
,3610,80730311,,,,,,,-96.658623,43.545722,,,,POINT(-96.658623 43.545722),3.0,3.0,6.0
,3611,80730385,,,,,,,-96.6109317,43.5201502,,,,POINT(-96.6109317 43.5201502),3.0,3.0,6.0
,3612,80730390,,,,,,,-96.608559,43.520161,,,,POINT(-96.608559 43.520161),4.0,4.0,8.0
,3613,80730400,,,,,,,-96.607117,43.520248,,,,POINT(-96.607117 43.520248),1.0,1.0,2.0
,3616,80711083,,,,,,,-96.7526234,43.5603487,,,,POINT(-96.7526234 43.5603487),3.0,3.0,6.0
,3617,80730425,,,,,,,-96.7537459,43.5602499,,,,POINT(-96.7537459 43.5602499),4.0,4.0,8.0
,3618,80687580,,,,,,,-96.757501,43.5602383,,,,POINT(-96.757501 43.5602383),4.0,4.0,8.0
,3619,80730427,,,,,,,-96.758745,43.560231,,,,POINT(-96.758745 43.560231),4.0,4.0,8.0
,3620,80653294,traffic_signals,,signal,traffic_signals,,,-96.7612301,43.5602214,,,,POINT(-96.7612301 43.5602214),4.0,4.0,8.0
,3621,80730429,,,,,,,-96.764951,43.560212,,,,POINT(-96.764951 43.560212),3.0,3.0,6.0
,3622,80730455,,,,,,,-96.722991,43.525392,,,,POINT(-96.722991 43.525392),4.0,4.0,8.0
,3623,80661767,,,,,,,-96.723475,43.529409,,,,POINT(-96.723475 43.529409),3.0,3.0,6.0
,3624,80730461,,,,,,,-96.7235126,43.5283305,,,,POINT(-96.7235126 43.5283305),5.0,5.0,10.0
,3625,80730477,,,,,,,-96.795959,43.538016,,,,POINT(-96.795959 43.538016),4.0,4.0,8.0
,3626,80731896,turning_circle,,,turning_circle,,,-96.7260695,43.5013248,,,,POINT(-96.7260695 43.5013248),1.0,1.0,2.0
,3627,80731978,,,,,,,-96.739826,43.517968,,,,POINT(-96.739826 43.517968),2.0,2.0,4.0
,3628,80735393,,,,,,,-96.706678,43.559788,,,,POINT(-96.706678 43.559788),4.0,4.0,8.0
,3629,2456530728,turning_circle,,,turning_circle,,,-96.7048977,43.5596902,,,,POINT(-96.7048977 43.5596902),1.0,1.0,2.0
,3630,80735678,,,,,,,-96.7908476,43.5016287,,,,POINT(-96.7908476 43.5016287),3.0,3.0,6.0
,3631,80735698,,,,,,,-96.7876123,43.5047927,,,,POINT(-96.7876123 43.5047927),3.0,3.0,6.0
,3632,80735706,turning_circle,,,turning_circle,,,-96.68017,43.510469,,,,POINT(-96.68017 43.510469),1.0,1.0,2.0
,3633,8272678704,,,,,,,-96.5806965,43.5439371,,,,POINT(-96.5806965 43.5439371),1.0,1.0,2.0
,3634,5353951355,,,,,,,-96.5880607,43.5439755,,,,POINT(-96.5880607 43.5439755),3.0,3.0,6.0
,3635,80736148,,,,,,,-96.5912273,43.5439848,,,,POINT(-96.5912273 43.5439848),4.0,4.0,8.0
,3636,80736170,,,,,,,-96.59508,43.5437752,,,,POINT(-96.59508 43.5437752),1.0,1.0,2.0
,3637,80641753,,,,,,,-96.8473089,43.5437607,,,,POINT(-96.8473089 43.5437607),2.0,2.0,4.0
,3638,80736318,,,,,,,-96.8639448,43.5436935,,,,POINT(-96.8639448 43.5436935),3.0,3.0,6.0
,3639,80736320,,,,,,,-96.8654171,43.5436917,,,,POINT(-96.8654171 43.5436917),3.0,3.0,6.0
,3640,80736328,,,,,,,-96.8688798,43.5436748,,,,POINT(-96.8688798 43.5436748),3.0,3.0,6.0
,3641,80736336,,,,,,,-96.8705527,43.5436625,,,,POINT(-96.8705527 43.5436625),4.0,4.0,8.0
,3642,2467494429,,,,,,,-96.8782353,43.5437463,,,,POINT(-96.8782353 43.5437463),1.0,1.0,2.0
,3643,80737114,,,,,,,-96.7664257,43.5547478,,,,POINT(-96.7664257 43.5547478),3.0,3.0,6.0
,3644,80653019,,,,,,,-96.7661544,43.5583926,,,,POINT(-96.7661544 43.5583926),3.0,3.0,6.0
,3645,80737167,,,,,,,-96.758116,43.535473,,,,POINT(-96.758116 43.535473),3.0,3.0,6.0
,3646,80737182,,,,,,,-96.757398,43.53466,,,,POINT(-96.757398 43.53466),3.0,3.0,6.0
,3647,80737185,,,,,,,-96.768481,43.50561,,,,POINT(-96.768481 43.50561),3.0,3.0,6.0
,3648,80737196,,,,,,,-96.7687917,43.5075985,,,,POINT(-96.7687917 43.5075985),3.0,3.0,6.0
,3649,80737202,,,,,,,-96.70529,43.502897,,,,POINT(-96.70529 43.502897),3.0,3.0,6.0
,3650,80737212,turning_circle,,,turning_circle,,,-96.7054995,43.5037976,,,,POINT(-96.7054995 43.5037976),1.0,1.0,2.0
,3651,80737217,,,,,,,-96.726358,43.506148,,,,POINT(-96.726358 43.506148),2.0,2.0,4.0
,3652,80728485,,,,,,,-96.7262006,43.506145,,,,POINT(-96.7262006 43.506145),3.0,3.0,6.0
,3653,80722599,,,,,,,-96.725615,43.506127,,,,POINT(-96.725615 43.506127),3.0,3.0,6.0
,3654,80706888,,,,,,,-96.72478,43.505718,,,,POINT(-96.72478 43.505718),3.0,3.0,6.0
,3655,80737221,,,,,,,-96.721683,43.50429,,,,POINT(-96.721683 43.50429),3.0,3.0,6.0
,3656,80737235,,,,,,,-96.719879,43.502963,,,,POINT(-96.719879 43.502963),3.0,3.0,6.0
