name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type,out_degree,in_degree,degree
767615,1000054,1000054,-96.78011257,43.57303985,3,1351,bus_stop,,,,Sioux Area Metro,POINT (-96.78011257 43.57303985),0,,,1.0,1.0,2.0
767623,1000055,1000055,-96.7808518804779,43.5683772668864,3,1351,bus_stop,,,,Sioux Area Metro,POINT (-96.7808518804779 43.5683772668864),0,,,1.0,1.0,2.0
767625,1000056,1000056,-96.75904209,43.55834837,3,1351,bus_stop,,,,Sioux Area Metro,POINT (-96.75904209 43.55834837),0,,,3.0,3.0,6.0
767634,1000057,1000057,-96.75486843,43.53073202,3,1340,bus_stop,,,,Sioux Area Metro,POINT (-96.75486843 43.53073202),0,,,3.0,3.0,6.0
771294,1000058,1000058,-96.787606,43.602973,3,1351,bus_stop,,,,Sioux Area Metro,POINT (-96.787606 43.602973),0,,,2.0,2.0,4.0
1340.2.767253:1;11;17;20;25;31;39,1500001,1000007,-96.72551594,43.54486938,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1340.2.767253:1;39,1500002,1000007,-96.72551594,43.54486938,3,1340,bus_service_node,1340.2,1340.2:1;39,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1340.2.767267:1;11;17;20;25;31;39,1500003,1000008,-96.76126285,43.51402007,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.76126285000001 43.514020069999994),0,,,2.0,2.0,4.0
1340.2.767270:1;11;17;20;25;31;39,1500004,1000009,-96.77159721,43.50468562,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.77159721000001 43.50468562),0,,,2.0,2.0,4.0
1340.2.767275:1;11;17;20;25;31;39,1500005,1000010,-96.76018883,43.51344805,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.76018883 43.513448049999994),0,,,2.0,2.0,4.0
1340.2.767281:1;11;17;20;25;31;39,1500006,1000011,-96.75488842,43.53100358,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.75488842 43.53100358),0,,,2.0,2.0,4.0
1340.2.767634:1;11;17;20;25;31;39,1500007,1000057,-96.75496843,43.53063202,3,1340,bus_service_node,1340.2,1340.2:1;11;17;20;25;31;39,,Sioux Area Metro,POINT (-96.75496843 43.53063202),0,,,2.0,2.0,4.0
1341.2.4211570:1;8;16;22;29;37;45,1500008,1000002,-96.7512743986509,43.51456489249669,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.7512743986509 43.51456489249669),0,,,2.0,2.0,4.0
1341.2.767253:1;45,1500009,1000007,-96.72551594,43.54486938,3,1341,bus_service_node,1341.2,1341.2:1;45,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1341.2.767253:1;8;16;22;29;37;45,1500010,1000007,-96.72551594,43.54486938,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1341.2.767270:1;8;16;22;29;37;45,1500011,1000009,-96.77159721,43.50468562,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.77159721000001 43.50468562),0,,,2.0,2.0,4.0
1341.2.767297:1;8;16;22;29;37;45,1500012,1000013,-96.7414173,43.53361131,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.74141730000001 43.53361131),0,,,2.0,2.0,4.0
1341.2.767315:1;8;16;22;29;37;45,1500013,1000014,-96.75107796,43.51512748,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.75107796 43.51512748),0,,,2.0,2.0,4.0
1341.2.767323:1;8;16;22;29;37;45,1500014,1000015,-96.74127857,43.53269905,3,1341,bus_service_node,1341.2,1341.2:1;8;16;22;29;37;45,,Sioux Area Metro,POINT (-96.74127857 43.53269905),0,,,2.0,2.0,4.0
1342.2.767253:1;42,1500015,1000007,-96.72551594,43.54486938,3,1342,bus_service_node,1342.2,1342.2:1;42,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1342.2.767253:1;8;16;20;27;34;42,1500016,1000007,-96.72551594,43.54486938,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1342.2.767270:1;8;16;20;27;34;42,1500017,1000009,-96.77159721,43.50468562,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.77159721000001 43.50468562),0,,,2.0,2.0,4.0
1342.2.767336:1;8;16;20;27;34;42,1500018,1000016,-96.73150022,43.52170887,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.73150022 43.52170887),0,,,2.0,2.0,4.0
1342.2.767344:1;8;16;20;27;34;42,1500019,1000017,-96.76094281,43.5148081,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.76094281 43.514808099999996),0,,,2.0,2.0,4.0
1342.2.767352:1;8;16;20;27;34;42,1500020,1000018,-96.76142772,43.51461843,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.76142772 43.51461843),0,,,2.0,2.0,4.0
1342.2.767360:1;8;16;20;27;34;42,1500021,1000019,-96.73126238,43.52278231,3,1342,bus_service_node,1342.2,1342.2:1;8;16;20;27;34;42,,Sioux Area Metro,POINT (-96.73126238 43.52278231),0,,,2.0,2.0,4.0
1343.2.767253:1;24,1500022,1000007,-96.72551594,43.54486938,3,1343,bus_service_node,1343.2,1343.2:1;24,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1343.2.767253:1;7;12;18;23;24,1500023,1000007,-96.72551594,43.54486938,3,1343,bus_service_node,1343.2,1343.2:1;7;12;18;23;24,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1343.2.767372:1;7;12;18;23;24,1500024,1000020,-96.69672536,43.54649391,3,1343,bus_service_node,1343.2,1343.2:1;7;12;18;23;24,,Sioux Area Metro,POINT (-96.69672536 43.546493909999995),0,,,2.0,2.0,4.0
1343.2.767377:1;7;12;18;23;24,1500025,1000022,-96.67582167,43.5438822,3,1343,bus_service_node,1343.2,1343.2:1;7;12;18;23;24,,Sioux Area Metro,POINT (-96.67582167 43.5438822),0,,,2.0,2.0,4.0
1343.2.767383:1;7;12;18;23;24,1500026,1000023,-96.69199496,43.54675758,3,1343,bus_service_node,1343.2,1343.2:1;7;12;18;23;24,,Sioux Area Metro,POINT (-96.69199496 43.54675758),0,,,2.0,2.0,4.0
1343.2.767506:1;7;12;18;23;24,1500027,1000041,-96.71397392,43.54665365,3,1343,bus_service_node,1343.2,1343.2:1;7;12;18;23;24,,Sioux Area Metro,POINT (-96.71397392 43.546653649999996),0,,,2.0,2.0,4.0
1344.2.767253:1;26,1500028,1000007,-96.72551594,43.54486938,3,1344,bus_service_node,1344.2,1344.2:1;26,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1344.2.767253:1;5;11;16;23;26,1500029,1000007,-96.72551594,43.54486938,3,1344,bus_service_node,1344.2,1344.2:1;5;11;16;23;26,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
1344.2.767394:1;5;11;16;23;26,1500030,1000024,-96.71606984,43.53468111,3,1344,bus_service_node,1344.2,1344.2:1;5;11;16;23;26,,Sioux Area Metro,POINT (-96.71606984 43.534681109999994),0,,,2.0,2.0,4.0
1344.2.767403:1;5;11;16;23;26,1500031,1000025,-96.71145996,43.51867128999999,3,1344,bus_service_node,1344.2,1344.2:1;5;11;16;23;26,,Sioux Area Metro,POINT (-96.71145996 43.51867128999999),0,,,2.0,2.0,4.0
1344.2.767408:1;5;11;16;23;26,1500032,1000026,-96.72628099,43.51742069,3,1344,bus_service_node,1344.2,1344.2:1;5;11;16;23;26,,Sioux Area Metro,POINT (-96.72628099 43.517420689999994),0,,,2.0,2.0,4.0
1344.2.767415:1;5;11;16;23;26,1500033,1000027,-96.72633317,43.53638505999999,3,1344,bus_service_node,1344.2,1344.2:1;5;11;16;23;26,,Sioux Area Metro,POINT (-96.72633317 43.53638505999999),0,,,2.0,2.0,4.0
1345.2.767253:1;12;17;24,1500034,1000007,-96.72551594,43.54486938,3,1345,bus_service_node,1345.2,1345.2:1;12;17;24,,Sioux Area Metro,POINT (-96.72551594000001 43.544869379999994),1,,,2.0,2.0,4.0
