param,value
16_agency1_TEC_demand,"tf.Tensor(-5.8373203, shape=(), dtype=float32)"
16_agency1_total_subsidy,"tf.Tensor(120.357895, shape=(), dtype=float32)"
16_agency1_adjusted_transit_income,"tf.Tensor(1055.1409, shape=(), dtype=float32)"
16_agency1_equity_change_income,"tf.Tensor(-3.9739313, shape=(), dtype=float32)"
16_agency1_adjusted_transit_revenue,"tf.Tensor(930.809, shape=(), dtype=float32)"
17_agency1_adjusted_equity_index,"tf.Tensor(0.0029316023, shape=(), dtype=float32)"
17_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0029316023, shape=(), dtype=float32)"
17_agency1_equity_improvement,"tf.Tensor(0.0006601203, shape=(), dtype=float32)"
17_agency1_equity_gap,"tf.Tensor(-5.8224192e-05, shape=(), dtype=float32)"
17_agency1_TEC_demand,"tf.Tensor(-5.822419, shape=(), dtype=float32)"
17_agency1_total_subsidy,"tf.Tensor(120.37474, shape=(), dtype=float32)"
17_agency1_adjusted_transit_income,"tf.Tensor(1055.1516, shape=(), dtype=float32)"
17_agency1_equity_change_income,"tf.Tensor(-3.9977741, shape=(), dtype=float32)"
17_agency1_adjusted_transit_revenue,"tf.Tensor(930.77905, shape=(), dtype=float32)"
18_agency1_adjusted_equity_index,"tf.Tensor(0.002885284, shape=(), dtype=float32)"
18_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002885284, shape=(), dtype=float32)"
18_agency1_equity_improvement,"tf.Tensor(0.0007064387, shape=(), dtype=float32)"
18_agency1_equity_gap,"tf.Tensor(-1.1905795e-05, shape=(), dtype=float32)"
18_agency1_TEC_demand,"tf.Tensor(-1.1905795, shape=(), dtype=float32)"
18_agency1_total_subsidy,"tf.Tensor(126.67016, shape=(), dtype=float32)"
18_agency1_adjusted_transit_income,"tf.Tensor(1058.2622, shape=(), dtype=float32)"
18_agency1_equity_change_income,"tf.Tensor(-0.82440466, shape=(), dtype=float32)"
18_agency1_adjusted_transit_revenue,"tf.Tensor(930.76764, shape=(), dtype=float32)"
19_agency1_adjusted_equity_index,"tf.Tensor(0.0029087253, shape=(), dtype=float32)"
19_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0029087253, shape=(), dtype=float32)"
19_agency1_equity_improvement,"tf.Tensor(0.0006829973, shape=(), dtype=float32)"
19_agency1_equity_gap,"tf.Tensor(-3.5347184e-05, shape=(), dtype=float32)"
19_agency1_TEC_demand,"tf.Tensor(-3.5347185, shape=(), dtype=float32)"
19_agency1_total_subsidy,"tf.Tensor(121.56849, shape=(), dtype=float32)"
19_agency1_adjusted_transit_income,"tf.Tensor(1054.7822, shape=(), dtype=float32)"
19_agency1_equity_change_income,"tf.Tensor(-2.451788, shape=(), dtype=float32)"
19_agency1_adjusted_transit_revenue,"tf.Tensor(930.76196, shape=(), dtype=float32)"
20_agency1_adjusted_equity_index,"tf.Tensor(0.0028853342, shape=(), dtype=float32)"
20_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028853342, shape=(), dtype=float32)"
20_agency1_equity_improvement,"tf.Tensor(0.0007063884, shape=(), dtype=float32)"
20_agency1_equity_gap,"tf.Tensor(-1.1956086e-05, shape=(), dtype=float32)"
20_agency1_TEC_demand,"tf.Tensor(-1.1956086, shape=(), dtype=float32)"
20_agency1_total_subsidy,"tf.Tensor(126.70115, shape=(), dtype=float32)"
20_agency1_adjusted_transit_income,"tf.Tensor(1058.2949, shape=(), dtype=float32)"
20_agency1_equity_change_income,"tf.Tensor(-0.8335366, shape=(), dtype=float32)"
20_agency1_adjusted_transit_revenue,"tf.Tensor(930.7602, shape=(), dtype=float32)"
21_agency1_adjusted_equity_index,"tf.Tensor(0.0029081702, shape=(), dtype=float32)"
21_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0029081702, shape=(), dtype=float32)"
21_agency1_equity_improvement,"tf.Tensor(0.00068355235, shape=(), dtype=float32)"
21_agency1_equity_gap,"tf.Tensor(-3.4792116e-05, shape=(), dtype=float32)"
21_agency1_TEC_demand,"tf.Tensor(-3.4792116, shape=(), dtype=float32)"
21_agency1_total_subsidy,"tf.Tensor(121.80226, shape=(), dtype=float32)"
21_agency1_adjusted_transit_income,"tf.Tensor(1054.9788, shape=(), dtype=float32)"
21_agency1_equity_change_income,"tf.Tensor(-2.4297445, shape=(), dtype=float32)"
21_agency1_adjusted_transit_revenue,"tf.Tensor(930.74677, shape=(), dtype=float32)"
22_agency1_adjusted_equity_index,"tf.Tensor(0.0028847493, shape=(), dtype=float32)"
22_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028847493, shape=(), dtype=float32)"
22_agency1_equity_improvement,"tf.Tensor(0.00070697325, shape=(), dtype=float32)"
22_agency1_equity_gap,"tf.Tensor(-1.1371216e-05, shape=(), dtype=float32)"
22_agency1_TEC_demand,"tf.Tensor(-1.1371216, shape=(), dtype=float32)"
22_agency1_total_subsidy,"tf.Tensor(126.94101, shape=(), dtype=float32)"
22_agency1_adjusted_transit_income,"tf.Tensor(1058.4934, shape=(), dtype=float32)"
22_agency1_equity_change_income,"tf.Tensor(-0.79807734, shape=(), dtype=float32)"
22_agency1_adjusted_transit_revenue,"tf.Tensor(930.7543, shape=(), dtype=float32)"
23_agency1_adjusted_equity_index,"tf.Tensor(0.0028876644, shape=(), dtype=float32)"
23_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028876644, shape=(), dtype=float32)"
23_agency1_equity_improvement,"tf.Tensor(0.0007040582, shape=(), dtype=float32)"
23_agency1_equity_gap,"tf.Tensor(-1.42862555e-05, shape=(), dtype=float32)"
23_agency1_TEC_demand,"tf.Tensor(-1.4286256, shape=(), dtype=float32)"
23_agency1_total_subsidy,"tf.Tensor(126.784035, shape=(), dtype=float32)"
23_agency1_adjusted_transit_income,"tf.Tensor(1058.5356, shape=(), dtype=float32)"
23_agency1_equity_change_income,"tf.Tensor(-1.0042909, shape=(), dtype=float32)"
23_agency1_adjusted_transit_revenue,"tf.Tensor(930.7473, shape=(), dtype=float32)"
24_agency1_adjusted_equity_index,"tf.Tensor(0.0028651431, shape=(), dtype=float32)"
24_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028651431, shape=(), dtype=float32)"
24_agency1_equity_improvement,"tf.Tensor(0.00072657946, shape=(), dtype=float32)"
24_agency1_equity_gap,"tf.Tensor(8.234987e-06, shape=(), dtype=float32)"
24_agency1_TEC_demand,"tf.Tensor(0.8234987, shape=(), dtype=float32)"
24_agency1_total_subsidy,"tf.Tensor(127.96546, shape=(), dtype=float32)"
24_agency1_adjusted_transit_income,"tf.Tensor(1058.1177, shape=(), dtype=float32)"
24_agency1_equity_change_income,"tf.Tensor(0.5800771, shape=(), dtype=float32)"
24_agency1_adjusted_transit_revenue,"tf.Tensor(930.7323, shape=(), dtype=float32)"
25_agency1_adjusted_equity_index,"tf.Tensor(0.0028653797, shape=(), dtype=float32)"
25_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028653797, shape=(), dtype=float32)"
25_agency1_equity_improvement,"tf.Tensor(0.0007263429, shape=(), dtype=float32)"
25_agency1_equity_gap,"tf.Tensor(7.998431e-06, shape=(), dtype=float32)"
25_agency1_TEC_demand,"tf.Tensor(0.79984313, shape=(), dtype=float32)"
25_agency1_total_subsidy,"tf.Tensor(127.961975, shape=(), dtype=float32)"
25_agency1_adjusted_transit_income,"tf.Tensor(1058.1399, shape=(), dtype=float32)"
25_agency1_equity_change_income,"tf.Tensor(0.56275535, shape=(), dtype=float32)"
25_agency1_adjusted_transit_revenue,"tf.Tensor(930.74066, shape=(), dtype=float32)"
26_agency1_adjusted_equity_index,"tf.Tensor(0.0028880686, shape=(), dtype=float32)"
26_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028880686, shape=(), dtype=float32)"
26_agency1_equity_improvement,"tf.Tensor(0.000703654, shape=(), dtype=float32)"
26_agency1_equity_gap,"tf.Tensor(-1.46904495e-05, shape=(), dtype=float32)"
26_agency1_TEC_demand,"tf.Tensor(-1.4690449, shape=(), dtype=float32)"
26_agency1_total_subsidy,"tf.Tensor(126.77901, shape=(), dtype=float32)"
26_agency1_adjusted_transit_income,"tf.Tensor(1058.5598, shape=(), dtype=float32)"
26_agency1_equity_change_income,"tf.Tensor(-1.0324188, shape=(), dtype=float32)"
26_agency1_adjusted_transit_revenue,"tf.Tensor(930.7484, shape=(), dtype=float32)"
27_agency1_adjusted_equity_index,"tf.Tensor(0.0028654207, shape=(), dtype=float32)"
27_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028654207, shape=(), dtype=float32)"
27_agency1_equity_improvement,"tf.Tensor(0.0007263019, shape=(), dtype=float32)"
27_agency1_equity_gap,"tf.Tensor(7.957453e-06, shape=(), dtype=float32)"
27_agency1_TEC_demand,"tf.Tensor(0.7957453, shape=(), dtype=float32)"
27_agency1_total_subsidy,"tf.Tensor(127.95906, shape=(), dtype=float32)"
27_agency1_adjusted_transit_income,"tf.Tensor(1058.1411, shape=(), dtype=float32)"
27_agency1_equity_change_income,"tf.Tensor(0.5604047, shape=(), dtype=float32)"
27_agency1_adjusted_transit_revenue,"tf.Tensor(930.7425, shape=(), dtype=float32)"
28_agency1_adjusted_equity_index,"tf.Tensor(0.0028881077, shape=(), dtype=float32)"
28_agency1_internal_adjusted_equity_index,"tf.Tensor(0.0028881077, shape=(), dtype=float32)"
28_agency1_equity_improvement,"tf.Tensor(0.0007036149, shape=(), dtype=float32)"
28_agency1_equity_gap,"tf.Tensor(-1.4729565e-05, shape=(), dtype=float32)"
28_agency1_TEC_demand,"tf.Tensor(-1.4729565, shape=(), dtype=float32)"
28_agency1_total_subsidy,"tf.Tensor(126.776474, shape=(), dtype=float32)"
28_agency1_adjusted_transit_income,"tf.Tensor(1058.5612, shape=(), dtype=float32)"
28_agency1_equity_change_income,"tf.Tensor(-1.0361595, shape=(), dtype=float32)"
28_agency1_adjusted_transit_revenue,"tf.Tensor(930.74854, shape=(), dtype=float32)"
29_agency1_adjusted_equity_index,"tf.Tensor(0.002865469, shape=(), dtype=float32)"
29_agency1_internal_adjusted_equity_index,"tf.Tensor(0.002865469, shape=(), dtype=float32)"
29_agency1_equity_improvement,"tf.Tensor(0.0007262535, shape=(), dtype=float32)"
